GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,UserIdentifier,40,33,13,3,5,7,12,3,4,3
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,AzureAuthority.new Object() {...},3,23,0,0,0,1,0,1,0,1
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,AzureAuthority.new Action() {...},10,0,0,0,3,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,BaseAuthentication,0,3,0,0,0,1,0,1,0,1
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,BaseVsoAuthentication.new Action() {...},7,0,0,0,3,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,VsoAzureAuthority,603,25,94,2,121,8,60,4,13,3
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,GithubAuthenticationResultType,58,0,0,0,5,0,4,0,4,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,Where,222,104,49,11,58,19,31,7,5,3
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,PromptValue,3,0,0,0,1,0,1,0,1,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,BaseSecureStore,104,0,4,0,25,0,10,0,8,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,GithubTokenScope,230,0,0,0,35,0,10,0,10,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,Configuration,170,352,36,38,39,65,30,18,4,7
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,SecretCache,233,30,23,1,53,8,19,3,7,3
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,AzureAuthority,243,288,31,19,59,70,27,12,6,7
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,VsoAdalTokenCache,34,0,0,0,7,0,4,0,4,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,VsoAzureAuthority.new Action() {...},10,0,0,0,3,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,VsoAzureAuthority.new Action() {...},10,0,0,0,3,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,BaseVsoAuthentication,364,48,47,3,81,14,34,3,9,3
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,DeviceFlowImpl,265,3,18,0,69,1,15,1,6,1
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,GithubAuthenticationResult,37,0,2,0,12,0,7,0,6,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,Configuration.Entry,0,12,0,0,0,4,0,1,0,1
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,AzureDeviceFlow,23,17,4,0,6,7,4,5,2,5
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,Where.new Func() {...},0,10,0,0,0,2,0,2,0,2
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,Where.new FileFilter() {...},6,0,0,0,2,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,UserIdentifierType,9,39,0,0,0,4,2,2,2,2
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,VsoMsaAuthentication,107,0,4,0,28,0,7,0,5,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,SecretStore,201,0,18,0,51,0,18,0,9,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,SecretStoreAdapter,71,0,8,0,19,0,10,0,6,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,DeviceFlowResponse,60,26,0,0,15,9,7,1,7,1
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,PromptBehavior,5,53,0,0,0,5,1,3,1,3
