GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.endpoint,SimpleAzureListenerEndpoint,7,6,0,0,3,2,2,2,2,2
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.endpoint,MethodAzureListenerEndpoint,18,59,3,3,2,18,4,8,1,8
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.endpoint,AbstractAzureListenerEndpoint,31,54,1,3,4,20,3,11,2,10
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,DefaultMessageListenerContainer,59,0,0,0,12,0,3,0,3,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,SimpleMessageListenerContainer,5,0,0,0,3,0,3,0,3,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,AbstractListenerContainer,151,0,0,0,47,0,19,0,19,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,DefaultAzureListenerContainerFactory,6,4,0,0,1,2,1,1,1,1
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,AbstractAzureListenerContainerFactory,15,6,0,0,6,3,3,1,3,1
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.listener,ListenerExecutionFailedException,5,0,0,0,2,0,1,0,1,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.listener,DefaultAzureMessageHandler,73,24,0,0,18,7,4,3,4,3
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerEndpointRegistry,140,132,22,10,34,36,23,11,8,10
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerAnnotationBeanPostProcessor,76,318,15,31,12,73,17,22,2,14
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureMessagingConfiguration,0,8,0,0,0,2,0,2,0,2
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerEndpointRegistrar.AzureListenerEndpointDescriptor,0,9,0,0,0,4,0,1,0,1
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureBootstrapConfiguration,0,11,0,0,0,3,0,3,0,3
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerAnnotationBeanPostProcessor.MessageHandlerMethodFactoryAdapter,4,39,1,3,2,10,2,5,1,4
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerEndpointRegistry.AggregatingCallback,20,0,2,0,7,0,3,0,2,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerEndpointRegistrar,66,141,8,10,12,40,10,12,3,10
