GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NanoHttpd-Core,org.nanohttpd.protocols.http,NanoHTTPD.ResponseException,8,10,0,0,3,4,1,2,1,2
NanoHttpd-Core,org.nanohttpd.protocols.http,HTTPSession,254,1249,41,121,48,279,38,65,1,21
NanoHttpd-Core,org.nanohttpd.protocols.http,ClientHandler,38,75,5,3,1,22,4,3,0,3
NanoHttpd-Core,org.nanohttpd.protocols.http,NanoHTTPD,157,424,20,36,38,118,23,40,6,29
NanoHttpd-Core,org.nanohttpd.protocols.http,NanoHTTPD.new IHandler() {...},0,11,0,0,0,2,0,2,0,2
NanoHttpd-Core,org.nanohttpd.protocols.http,ServerRunnable,15,73,2,4,3,20,2,5,0,4
NanoHttpd-Core,org.nanohttpd.protocols.http.request,Method,2,206,1,1,1,23,1,5,0,5
NanoHttpd-Core,org.nanohttpd.protocols.http.sockets,DefaultServerSocketFactory,0,7,0,0,0,2,0,2,0,2
NanoHttpd-Core,org.nanohttpd.protocols.http.sockets,SecureServerSocketFactory,0,39,0,2,0,13,0,3,0,2
NanoHttpd-Core,org.nanohttpd.protocols.http.threading,DefaultAsyncRunner,3,72,0,2,1,16,1,6,1,5
NanoHttpd-Core,org.nanohttpd.protocols.http.tempfiles,DefaultTempFileManagerFactory,0,7,0,0,0,2,0,2,0,2
NanoHttpd-Core,org.nanohttpd.protocols.http.tempfiles,DefaultTempFileManager,0,61,0,4,0,17,0,5,0,3
NanoHttpd-Core,org.nanohttpd.protocols.http.tempfiles,DefaultTempFile,3,42,0,2,1,9,1,4,1,3
NanoHttpd-Core,org.nanohttpd.protocols.http.response,Response,154,488,27,51,41,114,31,39,9,22
NanoHttpd-Core,org.nanohttpd.protocols.http.response,Response.new HashMap() {...},18,6,2,0,2,1,2,1,1,1
NanoHttpd-Core,org.nanohttpd.protocols.http.response,Response.GzipUsage,9,39,0,0,0,4,2,2,2,2
NanoHttpd-Core,org.nanohttpd.protocols.http.response,Status,7,443,1,3,1,42,2,7,1,6
NanoHttpd-Core,org.nanohttpd.protocols.http.response,ChunkedOutputStream,15,44,1,1,4,11,2,4,1,4
NanoHttpd-Core,org.nanohttpd.protocols.http.content,ContentType,29,85,4,6,6,18,5,9,2,7
NanoHttpd-Core,org.nanohttpd.protocols.http.content,CookieHandler,6,105,1,7,2,21,2,9,1,6
NanoHttpd-Core,org.nanohttpd.protocols.http.content,Cookie,0,74,0,0,0,19,0,5,0,5
NanoHttpd-Core,org.nanohttpd.util,ServerRunner,52,0,0,0,19,0,4,0,4,0
