GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JBehave REST,org.jbehave.core.io.rest.confluence,Confluence,0,100,0,2,0,21,0,5,0,4
JBehave REST,org.jbehave.core.io.rest.confluence,LoadFromConfluence,14,312,5,25,4,58,7,18,2,8
JBehave REST,org.jbehave.core.io.rest.confluence,Confluence.Page,29,34,2,4,11,7,8,6,6,5
JBehave REST,org.jbehave.core.io.rest.confluence,IndexFromConfluence,59,120,10,8,9,24,11,6,3,5
JBehave REST,org.jbehave.core.io.rest.confluence,Confluence.Link,11,6,0,0,5,2,3,2,3,2
JBehave REST,org.jbehave.core.io.rest.confluence,Confluence.Group,7,3,0,0,3,1,2,1,2,1
JBehave REST,org.jbehave.core.io.rest.confluence,Confluence.Results,7,3,0,0,3,1,2,1,2,1
JBehave REST,org.jbehave.core.io.rest.xwiki,LoadFromXWiki,61,0,3,0,13,0,6,0,4,0
JBehave REST,org.jbehave.core.io.rest.xwiki,LoadFromXWiki.Page,3,0,0,0,1,0,1,0,1,0
JBehave REST,org.jbehave.core.io.rest.xwiki,UploadToXWiki.Page,3,0,0,0,1,0,1,0,1,0
JBehave REST,org.jbehave.core.io.rest.xwiki,IndexFromXWiki.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
JBehave REST,org.jbehave.core.io.rest.xwiki,IndexFromXWiki.Page,3,0,0,0,1,0,1,0,1,0
JBehave REST,org.jbehave.core.io.rest.xwiki,IndexFromXWiki,97,23,4,0,16,6,6,3,4,3
JBehave REST,org.jbehave.core.io.rest.xwiki,UploadToXWiki,80,0,5,0,20,0,6,0,3,0
JBehave REST,org.jbehave.core.io.rest,IndexWithBreadcrumbs.ToLowerCase,0,6,0,0,0,2,0,2,0,2
JBehave REST,org.jbehave.core.io.rest,RESTClient.Type,5,45,0,0,0,3,1,3,1,3
JBehave REST,org.jbehave.core.io.rest,RESTClient,68,18,2,0,10,7,5,2,4,2
JBehave REST,org.jbehave.core.io.rest,IndexWithBreadcrumbs,34,202,2,16,8,47,4,17,2,10
JBehave REST,org.jbehave.core.io.rest,LoadFromREST,13,40,0,0,4,11,1,6,1,6
JBehave REST,org.jbehave.core.io.rest,UploadToREST,48,11,0,0,14,3,6,1,6,1
JBehave REST,org.jbehave.core.io.rest,Resource,10,75,3,3,1,25,3,17,1,16
JBehave REST,org.jbehave.core.io.rest.filesystem,ImportToFilesystem,17,103,1,5,1,26,1,7,0,5
JBehave REST,org.jbehave.core.io.rest.filesystem,ExportFromFilesystem,18,105,2,6,2,26,2,7,0,5
JBehave REST,org.jbehave.core.io.rest.filesystem,FilesystemUtils,8,34,1,1,1,4,2,3,1,3
JBehave REST,org.jbehave.core.io.rest.mojo,ImportToFilesystemMojo,20,60,0,0,4,15,0,3,0,3
JBehave REST,org.jbehave.core.io.rest.mojo,ExportFromFilesystemMojo,94,0,0,0,22,0,3,0,3,0
JBehave REST,org.jbehave.core.io.rest.mojo,AbstractFilesystemMojo,144,3,16,0,19,1,11,1,3,1
JBehave REST,org.jbehave.core.io.rest.redmine,IndexFromRedmine.Page,0,3,0,0,0,1,0,1,0,1
JBehave REST,org.jbehave.core.io.rest.redmine,IndexFromRedmine,9,112,0,4,1,19,1,8,1,6
JBehave REST,org.jbehave.core.io.rest.redmine,UploadToRedmine.Page,0,3,0,0,0,1,0,1,0,1
JBehave REST,org.jbehave.core.io.rest.redmine,LoadFromRedmine,47,27,3,0,11,5,4,3,2,3
JBehave REST,org.jbehave.core.io.rest.redmine,UploadToRedmine.Entity,0,3,0,0,0,1,0,1,0,1
JBehave REST,org.jbehave.core.io.rest.redmine,LoadFromRedmine.WikiPage,3,0,0,0,1,0,1,0,1,0
JBehave REST,org.jbehave.core.io.rest.redmine,UploadToRedmine,3,61,1,1,1,13,1,4,0,4
JBehave REST,org.jbehave.core.io.rest.redmine,IndexFromRedmine.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
